API_NO,WELL_NAME,FIELD,OPERATOR,LATITUDE,LONGITUDE,COUNTY,STATE,FORMATION,STATUS,SPUD_DATE,FIRST_PROD_DATE,TVD_FT,MD_FT,LATERAL_LENGTH_FT,PERF_TOP_FT,PERF_BOTTOM_FT
42-389-97219,Wallace 6H,Grandfalls,Texas Energy LLC,31.537665,-103.748138,Reeves,TX,Wolfcamp C,ACTIVE,2022-11-21,2023-01-05,10514,17856,7242,10222,10787
42-371-76746,Clayton 2H,Toyah,Texas Energy LLC,31.274384,-103.058428,Pecos,TX,1st Bone Spring,ACTIVE,2023-04-13,2023-07-12,12773,27818,14750,12481,12838
42-495-80589,Fisher 11V,Monahans,Texas Energy LLC,31.926957,-103.41383,Winkler,TX,2nd Bone Spring,ACTIVE,2023-03-14,2023-05-18,12338,21751,9025,11860,12421
42-495-61671,Wallace 11H,Balmorhea,Texas Energy LLC,32.098446,-103.249523,Winkler,TX,2nd Bone Spring,ACTIVE,2024-05-19,2024-08-16,11571,19778,8686,11470,11721
42-371-51724,Rogers 9H,Fort Stockton,Texas Energy LLC,30.867397,-102.709763,Pecos,TX,Wolfcamp A,ACTIVE,2022-07-13,2022-09-07,13336,22008,8500,12908,13620
42-389-44764,Hayes 5H,Wink,Texas Energy LLC,31.264547,-103.288217,Reeves,TX,Wolfcamp A,SHUT-IN,2023-03-20,2023-06-13,11821,23855,12007,11554,11893
42-475-93620,Harrison 9H,Grandfalls,Texas Energy LLC,31.513189,-103.257365,Ward,TX,1st Bone Spring,ACTIVE,2024-12-02,2025-01-23,10483,20880,9980,10100,10534
42-371-34803,Simmons 3H,Orla,Texas Energy LLC,31.198461,-103.738802,Pecos,TX,Bone Spring,ACTIVE,2023-07-18,2023-10-09,10392,18841,8668,9931,10572
42-475-93195,Cooper 3H,Mentone,Texas Energy LLC,31.292094,-103.478629,Ward,TX,Wolfcamp B,ACTIVE,2025-01-15,2025-03-08,12052,20782,8955,11665,12195
42-389-64681,King 10H,Monahans,Texas Energy LLC,31.474044,-103.291809,Reeves,TX,Wolfcamp A,ACTIVE,2022-02-14,2022-04-17,10832,16440,5866,10501,10934
42-109-90000,Scott 8H,Ward-Estes,Texas Energy LLC,31.558345,-104.10028,Culberson,TX,Wolfcamp B,ACTIVE,2022-04-19,2022-07-02,12261,21475,9014,11853,12424
42-495-51596,Butler 10H,Ward-Estes,Texas Energy LLC,31.841433,-103.214163,Winkler,TX,2nd Bone Spring,SHUT-IN,2025-10-09,2025-11-28,9616,18918,8877,9438,9749
42-475-87630,Reed 9H,Monahans,Texas Energy LLC,31.412703,-103.264155,Ward,TX,Wolfcamp B,ACTIVE,2025-12-16,2026-02-21,11053,24429,13552,10682,11123
42-371-56442,Roberts 4H,Pecos Valley,Texas Energy LLC,31.243056,-103.312962,Pecos,TX,Wolfcamp A,SHUT-IN,2024-04-22,2024-07-18,9017,18111,8613,8868,9271
42-109-99690,Hayes 4H,Red Hills,Texas Energy LLC,31.977024,-104.661208,Culberson,TX,1st Bone Spring,ACTIVE,2023-10-22,2023-12-09,10385,16638,5808,10151,10615
42-371-71164,Torres 7H,Grandfalls,Texas Energy LLC,30.786354,-102.565788,Pecos,TX,Wolfcamp A,ACTIVE,2023-05-14,2023-07-13,8642,20319,12054,8161,8797
42-371-68008,Hughes 10H,Kermit,Texas Energy LLC,31.232932,-102.993006,Pecos,TX,1st Bone Spring,SHUT-IN,2025-11-14,2026-01-13,10945,21629,10413,10711,11218
42-495-84339,Rogers 2H,Mentone,Texas Energy LLC,31.852888,-103.221729,Winkler,TX,Avalon Shale,ACTIVE,2025-05-02,2025-07-17,12431,26558,14355,12204,12540
42-475-33067,Roberts 3H,Loving,Texas Energy LLC,31.666782,-103.036074,Ward,TX,2nd Bone Spring,ACTIVE,2022-08-20,2022-11-05,13245,18341,5441,13058,13353
42-371-74500,Johnson 9H,Balmorhea,Texas Energy LLC,30.677258,-102.787147,Pecos,TX,Bone Spring,SHUT-IN,2024-12-27,2025-03-23,9709,18185,8871,9535,9824
42-389-98864,Taylor 10V,Imperial,Texas Energy LLC,31.460114,-103.363729,Reeves,TX,Bone Spring,ACTIVE,2025-03-20,2025-05-18,10879,18551,8171,10719,10935
42-389-84090,Moore 7H,Wink,Texas Energy LLC,31.774229,-103.409899,Reeves,TX,Wolfcamp B,SHUT-IN,2022-08-28,2022-11-04,9257,23273,13775,9060,9320
42-109-38954,Long 8H,Buena Vista,Texas Energy LLC,31.546838,-104.660729,Culberson,TX,Wolfcamp A,ACTIVE,2024-11-03,2025-01-07,9987,16944,7002,9533,10115
42-389-41233,Bailey 1V,Imperial,Texas Energy LLC,31.302183,-103.606266,Reeves,TX,Wolfcamp B,ACTIVE,2022-01-02,2022-03-05,8559,23409,14542,8438,8633
42-389-50273,Brooks 12H,Fort Stockton,Texas Energy LLC,31.479775,-103.39821,Reeves,TX,Bone Spring,ACTIVE,2022-09-26,2022-11-17,11053,20437,9774,10775,11277
42-389-56439,Powell 7H,Loving,Texas Energy LLC,31.161273,-103.515425,Reeves,TX,Bone Spring,ACTIVE,2025-01-24,2025-03-14,12207,18013,5325,11982,12361
42-389-59732,Kelly 1H,Balmorhea,Texas Energy LLC,31.564026,-103.121328,Reeves,TX,Bone Spring,ACTIVE,2024-09-06,2024-11-27,9344,20022,10630,8921,9626
42-371-99922,Bryant 8V,Van Horn,Texas Energy LLC,30.677556,-102.80076,Pecos,TX,2nd Bone Spring,ACTIVE,2024-02-21,2024-04-22,11339,21114,9653,10959,11441
42-371-53480,Cooper 9H,Pecos Valley,Texas Energy LLC,30.716448,-102.716367,Pecos,TX,2nd Bone Spring,ACTIVE,2023-11-26,2024-01-12,11202,23918,12904,10761,11460
42-371-74173,Bailey 5V,Grandfalls,Texas Energy LLC,30.757,-102.944361,Pecos,TX,Brushy Canyon,SHUT-IN,2022-11-19,2023-02-09,13010,21511,8420,12657,13162
42-109-61217,Turner 7V,Pecos Valley,Texas Energy LLC,31.462423,-104.329106,Culberson,TX,Bone Spring,ACTIVE,2023-01-03,2023-02-20,9538,21407,12185,9294,9599
42-371-79955,Martin 3H,Buena Vista,Texas Energy LLC,30.53086,-103.781593,Pecos,TX,Wolfcamp A,ACTIVE,2023-12-03,2024-02-17,12061,21401,9294,11829,12310
42-371-34458,Gibson 6H,Ward-Estes,Texas Energy LLC,30.932674,-103.366702,Pecos,TX,Wolfcamp A,ACTIVE,2022-04-04,2022-05-24,9320,22197,12580,8961,9610
42-475-41835,Morgan 11H,Culberson County,Texas Energy LLC,31.363663,-103.205824,Ward,TX,Wolfcamp A,ACTIVE,2023-01-28,2023-04-26,12413,23084,10919,11957,12700
42-301-35376,Myers 4H,Grandfalls,Texas Energy LLC,31.779893,-103.595092,Loving,TX,1st Bone Spring,ACTIVE,2022-08-04,2022-10-09,9190,22617,13266,9002,9250
42-301-52787,Reed 9H,Pecos Valley,Texas Energy LLC,31.860513,-103.614803,Loving,TX,2nd Bone Spring,ACTIVE,2022-08-05,2022-10-22,12658,27640,14493,12385,12951
42-495-88949,Taylor 10H,Ward-Estes,Texas Energy LLC,31.815121,-103.132028,Winkler,TX,Bone Spring,ACTIVE,2023-04-25,2023-06-10,9741,22184,11959,9317,9880
42-475-86345,Torres 6H,Wink,Texas Energy LLC,31.581016,-103.39533,Ward,TX,Wolfcamp A,ACTIVE,2022-11-23,2023-01-08,8650,20010,10954,8509,8708
42-475-87092,Stewart 4H,Van Horn,Texas Energy LLC,31.628854,-103.495305,Ward,TX,Wolfcamp B,ACTIVE,2025-11-21,2026-02-16,10410,16875,6311,9920,10580
42-371-58369,Stewart 1H,Loving,Texas Energy LLC,30.973265,-102.711914,Pecos,TX,2nd Bone Spring,ACTIVE,2023-06-14,2023-09-04,10321,25484,14695,10145,10604
42-389-42934,Cole 8H,Toyah,Texas Energy LLC,31.739386,-103.155666,Reeves,TX,1st Bone Spring,ACTIVE,2022-03-27,2022-06-02,11609,23276,11948,11246,11717
42-389-79372,Taylor 11V,Coyanosa,Texas Energy LLC,31.514795,-103.570066,Reeves,TX,Wolfcamp A,SHUT-IN,2024-01-12,2024-03-16,9976,18334,8509,9484,10150
42-109-70811,Mitchell 11H,Loving,Texas Energy LLC,31.344724,-104.089789,Culberson,TX,2nd Bone Spring,SHUT-IN,2024-01-07,2024-03-17,12888,24777,12273,12622,13098
42-389-79525,Cole 4H,Kermit,Texas Energy LLC,31.452799,-103.117982,Reeves,TX,Wolfcamp B,ACTIVE,2023-06-15,2023-09-02,11709,22299,10293,11538,11912
42-389-75453,Reed 4V,Reeves County,Texas Energy LLC,31.547449,-103.551235,Reeves,TX,Wolfcamp B,ACTIVE,2024-07-27,2024-09-11,13046,22366,9590,12869,13183
42-389-64632,Sullivan 3V,Buena Vista,Texas Energy LLC,31.039904,-103.280021,Reeves,TX,Wolfcamp A,ACTIVE,2023-09-06,2023-11-07,12430,19493,7032,12232,12485
42-475-50746,Woods 5H,Orla,Texas Energy LLC,31.480832,-103.185659,Ward,TX,Brushy Canyon,ACTIVE,2022-01-05,2022-03-15,12373,23576,11215,12186,12619
42-389-88383,Moore 7H,Buena Vista,Texas Energy LLC,31.782259,-103.69253,Reeves,TX,Wolfcamp A,ACTIVE,2022-10-21,2023-01-03,8557,14997,6567,8435,8791
42-371-58183,Gray 6H,Mentone,Texas Energy LLC,30.844056,-102.645482,Pecos,TX,Wolfcamp B,SHUT-IN,2025-06-22,2025-08-22,11566,19269,7500,11224,11633
42-301-72184,Bryant 12H,Wink,Texas Energy LLC,31.801644,-103.807669,Loving,TX,Wolfcamp B,ACTIVE,2024-08-26,2024-10-18,9631,21509,11762,9173,9907
42-389-67389,Moore 10H,Fort Stockton,Texas Energy LLC,31.671449,-103.300997,Reeves,TX,Delaware Mountain,ACTIVE,2024-01-25,2024-03-25,12401,23755,11378,12087,12593
42-301-37742,Powell 2V,Reeves County,Texas Energy LLC,31.876034,-103.835955,Loving,TX,2nd Bone Spring,ACTIVE,2022-03-10,2022-05-07,12276,20570,8384,12141,12557
42-109-85170,Reed 4V,Orla,Texas Energy LLC,31.3619,-104.687532,Culberson,TX,Bone Spring,ACTIVE,2024-01-25,2024-04-04,9531,21318,11601,9428,9699
42-301-95213,Scott 8H,Delaware Basin,Texas Energy LLC,31.726808,-103.808815,Loving,TX,Wolfcamp B,ACTIVE,2022-05-27,2022-08-12,12700,26815,13956,12560,12951
42-301-56254,Taylor 3H,Balmorhea,Texas Energy LLC,31.729725,-103.623124,Loving,TX,Brushy Canyon,SHUT-IN,2023-03-06,2023-06-04,12664,18089,5276,12510,12907
42-475-83476,Wilson 8H,Orla,Texas Energy LLC,31.246605,-103.003871,Ward,TX,1st Bone Spring,SHUT-IN,2024-09-23,2024-11-24,11903,24791,12905,11679,12069
42-475-72523,Gray 7H,Buena Vista,Texas Energy LLC,31.631859,-103.49383,Ward,TX,2nd Bone Spring,ACTIVE,2023-11-13,2024-01-07,9637,18850,9405,9400,9813
42-371-74222,Peterson 2H,Loving,Texas Energy LLC,30.837453,-103.003997,Pecos,TX,Wolfcamp A,ACTIVE,2024-06-21,2024-08-23,10691,25769,14918,10389,10810
42-495-31883,Reed 5V,Mentone,Texas Energy LLC,31.848103,-103.318103,Winkler,TX,3rd Bone Spring,ACTIVE,2025-07-14,2025-09-19,11385,25208,13887,11018,11684
42-475-59130,Ramirez 2H,Loving,Texas Energy LLC,31.297618,-103.235074,Ward,TX,1st Bone Spring,ACTIVE,2023-07-02,2023-09-17,12386,25723,13290,12197,12643
42-475-43508,Green 4V,Orla,Texas Energy LLC,31.550572,-103.248833,Ward,TX,1st Bone Spring,ACTIVE,2023-07-02,2023-09-02,10074,17405,7395,9965,10281
42-389-74966,Wood 6H,Fort Stockton,Texas Energy LLC,31.364266,-103.655193,Reeves,TX,Wolfcamp A,SHUT-IN,2022-05-02,2022-07-31,9442,15181,5370,9167,9657
42-109-68228,Nelson 1H,Kermit,Texas Energy LLC,31.811198,-104.671706,Culberson,TX,Bone Spring,ACTIVE,2023-01-24,2023-04-11,9697,24654,14470,9512,9907
42-475-58559,Henderson 8V,Pecos Valley,Texas Energy LLC,31.646558,-103.284381,Ward,TX,Wolfcamp A,ACTIVE,2025-10-22,2025-12-20,9944,16096,5942,9673,10193
42-475-88148,Moore 8V,Loving,Texas Energy LLC,31.461293,-103.498268,Ward,TX,2nd Bone Spring,ACTIVE,2025-02-14,2025-04-01,13026,26027,13388,12528,13233
42-301-34205,Bell 9H,Wink,Texas Energy LLC,31.983915,-103.56346,Loving,TX,Wolfcamp B,ACTIVE,2022-10-03,2022-12-22,9420,22794,13712,9058,9686
42-475-76890,Ranch 3H,Culberson County,Texas Energy LLC,31.355594,-103.057389,Ward,TX,Wolfcamp C,ACTIVE,2024-01-17,2024-04-08,9684,15366,5939,9325,9943
42-301-98162,Bennett 9H,Delaware Basin,Texas Energy LLC,31.959082,-103.717124,Loving,TX,3rd Bone Spring,ACTIVE,2024-10-14,2024-12-09,11473,24267,12430,11334,11668
42-475-63260,Hamilton 12V,Toyah,Texas Energy LLC,31.698569,-103.326947,Ward,TX,Wolfcamp A,ACTIVE,2024-07-02,2024-09-09,9999,20245,10530,9709,10216
42-371-85014,Baker 3H,Coyanosa,Texas Energy LLC,30.954361,-103.798101,Pecos,TX,2nd Bone Spring,ACTIVE,2024-10-07,2024-12-31,11792,26726,14856,11404,11933
42-389-37784,Owens 6H,Delaware Basin,Texas Energy LLC,31.111431,-103.417039,Reeves,TX,Wolfcamp B,ACTIVE,2022-06-03,2022-08-13,13400,20128,6320,13018,13572
42-301-52646,Hill 2H,Orla,Texas Energy LLC,31.660415,-103.526979,Loving,TX,Wolfcamp B,ACTIVE,2023-01-16,2023-03-27,9796,20117,9972,9415,9917
42-389-75745,Cox 5H,Buena Vista,Texas Energy LLC,31.704691,-103.184511,Reeves,TX,Wolfcamp C,SHUT-IN,2024-10-26,2025-01-20,12833,18144,5128,12450,12959
42-371-41362,Martin 10H,Coyanosa,Texas Energy LLC,31.217274,-103.617983,Pecos,TX,Wolfcamp B,SHUT-IN,2023-04-09,2023-07-04,9190,18321,9065,8783,9393
42-109-63303,Torres 1H,Culberson County,Texas Energy LLC,31.552006,-104.438077,Culberson,TX,Brushy Canyon,ACTIVE,2022-09-05,2022-11-08,8553,18200,9920,8344,8822
42-389-74295,Morris 12H,Balmorhea,Texas Energy LLC,31.072434,-103.169093,Reeves,TX,2nd Bone Spring,ACTIVE,2023-06-24,2023-09-03,9582,17416,8278,9385,9786
42-389-53283,Price 2H,Loving,Texas Energy LLC,31.107575,-103.591485,Reeves,TX,Avalon Shale,ACTIVE,2022-12-02,2023-02-11,8674,21986,13665,8338,8848
42-389-77638,Adams 9V,Ward-Estes,Texas Energy LLC,31.395535,-103.478864,Reeves,TX,Wolfcamp C,ACTIVE,2022-03-24,2022-05-16,10281,20193,9729,9987,10577
42-389-40408,Baker 8H,Imperial,Texas Energy LLC,31.309521,-103.362184,Reeves,TX,2nd Bone Spring,ACTIVE,2023-08-10,2023-11-06,13348,19304,6003,13154,13527
42-301-78971,Ellis 1H,Orla,Texas Energy LLC,31.60955,-103.756389,Loving,TX,Wolfcamp C,ACTIVE,2023-11-26,2024-01-29,11746,20396,9005,11638,12026
42-495-84444,Long 10H,Van Horn,Texas Energy LLC,31.708062,-103.128674,Winkler,TX,Wolfcamp A,ACTIVE,2023-10-28,2023-12-31,11151,23140,11965,10671,11206
42-389-49952,Parker 1H,Wink,Texas Energy LLC,31.485019,-103.665204,Reeves,TX,Wolfcamp C,ACTIVE,2023-10-25,2024-01-12,13125,20952,7433,12901,13354
42-389-66726,Evans 11V,Red Hills,Texas Energy LLC,31.67386,-103.28729,Reeves,TX,Wolfcamp B,SHUT-IN,2022-01-04,2022-04-04,12477,21553,8977,12124,12583
42-475-63567,Torres 6H,Imperial,Texas Energy LLC,31.647183,-103.262625,Ward,TX,3rd Bone Spring,ACTIVE,2023-06-23,2023-09-17,12262,19483,7490,12124,12523
42-389-65342,Perry 11V,Loving,Texas Energy LLC,31.701659,-103.615344,Reeves,TX,Wolfcamp A,ACTIVE,2024-09-14,2024-11-06,13459,26514,12815,13248,13656
42-389-32180,Ramirez 10H,Pecos Valley,Texas Energy LLC,31.294686,-103.328336,Reeves,TX,3rd Bone Spring,SHUT-IN,2025-05-21,2025-08-11,13231,22197,8728,13105,13430
42-371-58036,Stewart 12H,Buena Vista,Texas Energy LLC,31.264288,-102.570863,Pecos,TX,Delaware Mountain,ACTIVE,2024-11-04,2025-01-23,12066,22452,10704,11954,12337
42-371-47009,Davis 8H,Van Horn,Texas Energy LLC,30.642911,-103.759344,Pecos,TX,Wolfcamp A,ACTIVE,2025-11-16,2026-02-02,13335,22078,9193,13048,13441
42-389-70037,Stewart 7H,Fort Stockton,Texas Energy LLC,31.570192,-103.303442,Reeves,TX,Delaware Mountain,ACTIVE,2024-04-15,2024-06-18,12765,24369,11506,12613,12816
42-389-74430,Butler 10V,Loving,Texas Energy LLC,31.78636,-103.236229,Reeves,TX,Delaware Mountain,ACTIVE,2024-11-26,2025-02-24,13192,20716,7293,12899,13375
42-475-91763,Wallace 9H,Loving,Texas Energy LLC,31.514937,-103.011271,Ward,TX,Wolfcamp A,SHUT-IN,2023-09-19,2023-11-25,9142,18392,9390,8846,9241
42-371-66942,Peterson 7V,Pecos Valley,Texas Energy LLC,31.157847,-102.781933,Pecos,TX,2nd Bone Spring,ACTIVE,2023-07-08,2023-09-05,10219,22731,12773,9855,10419
42-109-80789,Gibson 9H,Wink,Texas Energy LLC,31.432909,-104.253421,Culberson,TX,1st Bone Spring,ACTIVE,2025-11-11,2026-01-02,9288,23034,13572,9154,9349
42-475-64650,Phillips 5V,Ward-Estes,Texas Energy LLC,31.505038,-103.403868,Ward,TX,Wolfcamp B,SHUT-IN,2023-12-23,2024-03-08,11097,23815,12861,10711,11386
42-371-89686,Adams 10H,Van Horn,Texas Energy LLC,31.276137,-102.764348,Pecos,TX,Brushy Canyon,ACTIVE,2024-02-19,2024-05-15,9696,19108,9175,9365,9814
42-109-34611,Peterson 9V,Monahans,Texas Energy LLC,31.762587,-104.494552,Culberson,TX,2nd Bone Spring,ACTIVE,2022-01-16,2022-03-11,12499,20407,7565,12399,12734
42-109-83578,Phillips 3V,Delaware Basin,Texas Energy LLC,31.961842,-104.539984,Culberson,TX,1st Bone Spring,SHUT-IN,2022-12-20,2023-03-16,11689,25756,14044,11491,11956
42-389-82606,Bryant 5V,Delaware Basin,Texas Energy LLC,31.620857,-103.627171,Reeves,TX,Wolfcamp A,ACTIVE,2023-05-09,2023-07-06,12401,24623,11869,12055,12619
42-301-77587,Wood 7H,Culberson County,Texas Energy LLC,31.85204,-103.860303,Loving,TX,3rd Bone Spring,ACTIVE,2023-08-04,2023-10-14,10897,22042,10992,10511,10974
42-389-37698,Johnson 11H,Coyanosa,Texas Energy LLC,31.419156,-103.212652,Reeves,TX,2nd Bone Spring,ACTIVE,2023-02-23,2023-04-18,8574,17174,8583,8241,8719
42-109-89175,Cook 10H,Van Horn,Texas Energy LLC,31.557996,-104.085566,Culberson,TX,Wolfcamp B,ACTIVE,2024-06-10,2024-08-21,9912,18701,9032,9567,10177
42-475-74291,Ross 2H,Balmorhea,Texas Energy LLC,31.339902,-103.088049,Ward,TX,Brushy Canyon,ACTIVE,2023-04-11,2023-06-21,10278,21638,11248,9814,10523
42-495-94495,Myers 3H,Kermit,Texas Energy LLC,31.726962,-103.293072,Winkler,TX,Wolfcamp B,ACTIVE,2022-02-05,2022-05-01,9126,17617,8435,8669,9179
42-475-34018,Howard 7H,Kermit,Texas Energy LLC,31.245879,-103.234759,Ward,TX,Wolfcamp B,SHUT-IN,2024-10-20,2024-12-09,8930,16140,7549,8444,9138
42-371-57118,Turner 7H,Ward-Estes,Texas Energy LLC,30.57528,-102.553169,Pecos,TX,Bone Spring,SHUT-IN,2022-08-03,2022-09-17,10283,24682,13976,9895,10356
42-371-51906,Sullivan 5H,Kermit,Texas Energy LLC,30.93497,-102.665824,Pecos,TX,1st Bone Spring,ACTIVE,2024-03-01,2024-04-23,12744,22235,9610,12246,12918
42-371-42878,Graham 3H,Fort Stockton,Texas Energy LLC,31.157711,-102.580569,Pecos,TX,2nd Bone Spring,ACTIVE,2025-12-28,2026-03-16,9448,14333,5067,9326,9673
42-495-73760,Ellis 7H,Ward-Estes,Texas Energy LLC,31.917821,-103.012286,Winkler,TX,Wolfcamp B,ACTIVE,2023-02-21,2023-04-28,11660,22558,11153,11261,11834
42-475-87445,Rogers 7H,Grandfalls,Texas Energy LLC,31.689374,-103.167517,Ward,TX,Bone Spring,ACTIVE,2022-11-04,2023-01-21,12367,19945,7654,11938,12622
42-109-73212,Jordan 1H,Wink,Texas Energy LLC,31.390451,-104.368186,Culberson,TX,Wolfcamp A,ACTIVE,2022-11-02,2023-01-19,10224,21204,10932,10023,10314
42-495-43145,University 8H,Grandfalls,Texas Energy LLC,31.894345,-103.231851,Winkler,TX,Wolfcamp A,ACTIVE,2022-06-28,2022-09-23,9821,16848,7293,9648,10012
42-389-83449,Jenkins 4V,Coyanosa,Texas Energy LLC,31.618923,-103.195971,Reeves,TX,Avalon Shale,ACTIVE,2022-12-12,2023-02-09,10792,19734,9425,10439,10954
42-495-51627,Parker 3H,Culberson County,Texas Energy LLC,31.875464,-103.037162,Winkler,TX,3rd Bone Spring,ACTIVE,2025-03-01,2025-05-16,9161,13772,5104,8970,9448
42-301-42502,Bell 4H,Loving,Texas Energy LLC,31.673912,-103.929694,Loving,TX,Wolfcamp B,SHUT-IN,2024-06-10,2024-08-31,13193,18147,5187,12759,13335
42-389-56728,Ellis 7H,Coyanosa,Texas Energy LLC,31.465331,-103.234587,Reeves,TX,Wolfcamp C,ACTIVE,2025-02-16,2025-04-13,12263,20629,8031,12073,12361
42-475-86626,Bass 2H,Van Horn,Texas Energy LLC,31.567267,-103.198143,Ward,TX,Brushy Canyon,SHUT-IN,2022-11-27,2023-01-28,13220,19160,5659,12733,13314
42-301-99193,Wilson 2V,Orla,Texas Energy LLC,31.726953,-103.871411,Loving,TX,Wolfcamp A,ACTIVE,2022-03-10,2022-05-20,9886,15980,5965,9620,9982
42-475-64362,Cox 2H,Culberson County,Texas Energy LLC,31.49228,-103.088791,Ward,TX,Wolfcamp C,SHUT-IN,2024-10-08,2025-01-02,9017,22054,12606,8559,9144
