EVENT_ID,API_NO,WELL_NAME,FIELD,EVENT_DATE,EVENT_TYPE,EVENT_DESCRIPTION,DURATION_HOURS,COST_USD
EVT-000046,42-371-88414,Williams 6H,Buena Vista,2026-01-05,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,9.7,9962.43
EVT-000047,42-371-88414,Williams 6H,Buena Vista,2025-05-22,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,44.3,8138.5
EVT-000048,42-109-30863,Bailey 5V,Red Hills,2026-02-12,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,6.6,2084.25
EVT-000049,42-109-30863,Bailey 5V,Red Hills,2025-11-26,CHEMICAL_TREATMENT,Routine tubing pressure test and casing inspection,13.7,14276.3
EVT-000050,42-109-30863,Bailey 5V,Red Hills,2026-03-03,INSPECTION,Routine tubing pressure test and casing inspection,31.5,22101.62
EVT-000051,42-109-30863,Bailey 5V,Red Hills,2025-09-23,INSPECTION,Routine preventive maintenance on ESP system including motor inspection and cable check,15.2,10488.17
EVT-000052,42-475-65262,Myers 11H,Culberson County,2026-05-17,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,21.4,22512.45
EVT-000053,42-371-49079,Stewart 7H,Wink,2025-03-16,INSPECTION,Scheduled wellhead maintenance and valve replacement,34.2,3093.32
EVT-000054,42-109-44804,Jordan 4H,Culberson County,2025-06-03,MAINTENANCE,Routine preventive maintenance on ESP system including motor inspection and cable check,45.4,6380.47
EVT-000055,42-109-44804,Jordan 4H,Culberson County,2024-05-15,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,24.7,13399.69
EVT-000056,42-109-44804,Jordan 4H,Culberson County,2026-06-03,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,39.1,10928.28
EVT-000057,42-389-75587,Ellis 6H,Van Horn,2026-03-04,MAINTENANCE,Routine preventive maintenance on ESP system including motor inspection and cable check,45.4,20588.52
EVT-000058,42-495-56642,University 5H,Reeves County,2025-09-11,CHEMICAL_TREATMENT,Corrosion coupon retrieval and analysis - 2 mpy average rate,43.8,20986.62
EVT-000059,42-495-56642,University 5H,Reeves County,2025-09-07,MAINTENANCE,Surface facility maintenance including separator cleaning and meter calibration,10.2,18385.8
EVT-000060,42-495-56642,University 5H,Reeves County,2026-06-03,MAINTENANCE,Routine tubing pressure test and casing inspection,24.1,13072.69
EVT-000061,42-475-50210,Bryant 6V,Pecos Valley,2024-12-26,WORKOVER,Electrical cable failure on ESP causing complete shutdown,312.8,1671984.76
EVT-000062,42-475-50210,Bryant 6V,Pecos Valley,2024-12-18,FAILURE,"ESP motor failure due to overheating, well shut-in pending replacement",50.1,136557.79
EVT-000063,42-475-50210,Bryant 6V,Pecos Valley,2024-01-04,FAILURE,Complete ESP system failure - motor burnout and pump lockup,470.8,145027.39
EVT-000064,42-475-50210,Bryant 6V,Pecos Valley,2023-12-06,FAILURE,"Severe corrosion-induced tubing failure, well flowing up annulus",417.6,468338.35
EVT-000065,42-475-50210,Bryant 6V,Pecos Valley,2025-04-05,WORKOVER,Complete ESP system failure - motor burnout and pump lockup,660.8,1179211.24
EVT-000066,42-475-50210,Bryant 6V,Pecos Valley,2026-04-22,FAILURE,"ESP motor failure due to overheating, well shut-in pending replacement",269.0,129760.52
EVT-000067,42-475-50210,Bryant 6V,Pecos Valley,2025-05-07,EQUIPMENT_CHANGE,"Tubing leak detected at depth, production ceased for workover",39.1,157451.68
EVT-000068,42-475-50210,Bryant 6V,Pecos Valley,2025-10-29,WORKOVER,"Casing collapse detected during pressure test, integrity compromised",584.1,304213.98
EVT-000069,42-475-50210,Bryant 6V,Pecos Valley,2026-06-11,FAILURE,"Christmas tree valve failure, emergency well control initiated",256.7,772506.36
EVT-000070,42-475-50210,Bryant 6V,Pecos Valley,2026-06-03,FAILURE,"VSD drive failure causing ESP shutdown, replacement ordered",234.9,615070.76
EVT-000071,42-389-67963,Ellis 7H,Orla,2026-03-07,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,36.2,636.0
EVT-000072,42-389-67963,Ellis 7H,Orla,2025-12-08,MAINTENANCE,Routine tubing pressure test and casing inspection,5.4,22220.89
EVT-000073,42-389-62325,Powell 12V,Monahans,2024-07-13,CHEMICAL_TREATMENT,Routine preventive maintenance on ESP system including motor inspection and cable check,21.9,17375.51
EVT-000074,42-389-97219,Wallace 6H,Grandfalls,2023-02-06,MAINTENANCE,Surface facility maintenance including separator cleaning and meter calibration,24.2,19057.15
EVT-000075,42-389-97219,Wallace 6H,Grandfalls,2023-09-24,MAINTENANCE,Routine preventive maintenance on ESP system including motor inspection and cable check,13.9,5472.8
EVT-000076,42-389-97219,Wallace 6H,Grandfalls,2023-01-08,INSPECTION,Routine preventive maintenance on ESP system including motor inspection and cable check,31.9,7675.35
EVT-000077,42-389-97219,Wallace 6H,Grandfalls,2024-10-15,MAINTENANCE,Surface facility maintenance including separator cleaning and meter calibration,12.3,5353.53
EVT-000078,42-371-76746,Clayton 2H,Toyah,2025-02-11,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,44.1,5124.26
EVT-000079,42-371-76746,Clayton 2H,Toyah,2024-06-10,MAINTENANCE,Surface facility maintenance including separator cleaning and meter calibration,2.1,14323.96
EVT-000080,42-371-76746,Clayton 2H,Toyah,2025-02-07,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,43.2,17488.77
EVT-000081,42-495-80589,Fisher 11V,Monahans,2024-01-03,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,35.7,23340.07
EVT-000082,42-495-80589,Fisher 11V,Monahans,2024-04-04,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,37.8,5447.5
EVT-000083,42-495-80589,Fisher 11V,Monahans,2024-12-24,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,15.2,13167.54
EVT-000084,42-495-61671,Wallace 11H,Balmorhea,2024-11-07,INSPECTION,Routine tubing pressure test and casing inspection,36.2,2295.3
EVT-000085,42-495-61671,Wallace 11H,Balmorhea,2025-04-03,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,9.4,23558.52
EVT-000086,42-495-61671,Wallace 11H,Balmorhea,2026-06-11,MAINTENANCE,Annual safety valve inspection and function test completed,16.7,14031.36
EVT-000087,42-371-51724,Rogers 9H,Fort Stockton,2026-02-08,INSPECTION,Routine tubing pressure test and casing inspection,28.2,15527.3
EVT-000088,42-371-51724,Rogers 9H,Fort Stockton,2026-04-01,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,43.4,8839.91
EVT-000089,42-371-51724,Rogers 9H,Fort Stockton,2023-08-11,CHEMICAL_TREATMENT,Surface facility maintenance including separator cleaning and meter calibration,4.4,5055.08
EVT-000090,42-389-44764,Hayes 5H,Wink,2024-08-30,FAILURE,"VSD drive failure causing ESP shutdown, replacement ordered",80.9,213505.38
EVT-000091,42-389-44764,Hayes 5H,Wink,2025-03-17,FAILURE,"Downhole pump seized due to severe sand production, pulling unit dispatched",76.5,639924.51
EVT-000092,42-389-44764,Hayes 5H,Wink,2023-07-12,FAILURE,"Hole in tubing at 6500ft, severe production loss and gas migration",170.8,593502.61
EVT-000093,42-389-44764,Hayes 5H,Wink,2025-10-19,FAILURE,"Rod parting at depth, well dead, workover rig scheduled",191.3,479141.21
EVT-000094,42-389-44764,Hayes 5H,Wink,2025-10-18,EQUIPMENT_CHANGE,"VSD drive failure causing ESP shutdown, replacement ordered",95.4,41398.11
EVT-000095,42-389-44764,Hayes 5H,Wink,2025-01-10,WORKOVER,"Christmas tree valve failure, emergency well control initiated",277.3,889264.42
EVT-000096,42-389-44764,Hayes 5H,Wink,2024-09-08,EQUIPMENT_CHANGE,"VSD drive failure causing ESP shutdown, replacement ordered",68.2,282516.85
EVT-000097,42-389-44764,Hayes 5H,Wink,2024-05-10,EQUIPMENT_CHANGE,"Severe corrosion-induced tubing failure, well flowing up annulus",46.2,216194.99
EVT-000098,42-389-44764,Hayes 5H,Wink,2026-05-20,FAILURE,Complete ESP system failure - motor burnout and pump lockup,191.0,131032.09
EVT-000099,42-389-44764,Hayes 5H,Wink,2026-06-05,FAILURE,"Tubing leak detected at depth, production ceased for workover",240.9,184225.82
EVT-000100,42-475-93620,Harrison 9H,Grandfalls,2025-11-22,MAINTENANCE,Routine tubing pressure test and casing inspection,35.5,6817.1
EVT-000101,42-475-93620,Harrison 9H,Grandfalls,2025-03-23,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,47.4,15797.71
EVT-000102,42-371-34803,Simmons 3H,Orla,2024-04-28,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,7.5,6067.53
EVT-000103,42-371-34803,Simmons 3H,Orla,2025-02-01,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,47.9,8987.32
EVT-000104,42-475-93195,Cooper 3H,Mentone,2025-12-03,MAINTENANCE,Corrosion coupon retrieval and analysis - 2 mpy average rate,33.0,21224.74
EVT-000105,42-475-93195,Cooper 3H,Mentone,2025-03-18,INSPECTION,Scheduled wellhead maintenance and valve replacement,28.0,15387.33
EVT-000106,42-389-64681,King 10H,Monahans,2023-12-17,CHEMICAL_TREATMENT,Corrosion coupon retrieval and analysis - 2 mpy average rate,36.7,18316.68
EVT-000107,42-389-64681,King 10H,Monahans,2024-07-07,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,39.0,15641.04
EVT-000108,42-389-64681,King 10H,Monahans,2025-09-03,CHEMICAL_TREATMENT,Routine preventive maintenance on ESP system including motor inspection and cable check,9.1,20482.51
EVT-000109,42-109-90000,Scott 8H,Ward-Estes,2023-03-13,INSPECTION,Quarterly ESP system diagnostic and vibration analysis completed,11.6,18567.13
EVT-000110,42-109-90000,Scott 8H,Ward-Estes,2023-10-31,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,40.4,7735.52
EVT-000111,42-109-90000,Scott 8H,Ward-Estes,2024-11-27,INSPECTION,Routine preventive maintenance on ESP system including motor inspection and cable check,16.5,8255.61
EVT-000112,42-109-90000,Scott 8H,Ward-Estes,2023-07-25,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,2.7,5616.78
EVT-000113,42-495-51596,Butler 10H,Ward-Estes,2025-12-03,MAINTENANCE,Corrosion coupon retrieval and analysis - 2 mpy average rate,32.3,15984.13
EVT-000114,42-495-51596,Butler 10H,Ward-Estes,2026-06-14,INSPECTION,Scheduled wellhead maintenance and valve replacement,36.4,24587.4
EVT-000115,42-495-51596,Butler 10H,Ward-Estes,2026-01-05,MAINTENANCE,Routine preventive maintenance on ESP system including motor inspection and cable check,36.1,12582.15
EVT-000116,42-475-87630,Reed 9H,Monahans,2026-04-14,INSPECTION,Scheduled wellhead maintenance and valve replacement,25.3,9878.46
EVT-000117,42-475-87630,Reed 9H,Monahans,2026-06-07,CHEMICAL_TREATMENT,Corrosion coupon retrieval and analysis - 2 mpy average rate,37.0,13591.23
EVT-000118,42-475-87630,Reed 9H,Monahans,2026-04-15,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,47.0,15226.68
EVT-000119,42-371-56442,Roberts 4H,Pecos Valley,2026-02-13,MAINTENANCE,Annual safety valve inspection and function test completed,39.0,6217.11
EVT-000120,42-109-99690,Hayes 4H,Red Hills,2024-05-20,CHEMICAL_TREATMENT,Surface facility maintenance including separator cleaning and meter calibration,26.5,9073.16
EVT-000121,42-109-99690,Hayes 4H,Red Hills,2026-02-28,CHEMICAL_TREATMENT,Surface facility maintenance including separator cleaning and meter calibration,47.8,18527.59
EVT-000122,42-109-99690,Hayes 4H,Red Hills,2025-02-04,INSPECTION,Annual safety valve inspection and function test completed,19.6,11390.54
EVT-000123,42-109-99690,Hayes 4H,Red Hills,2024-03-10,MAINTENANCE,Surface facility maintenance including separator cleaning and meter calibration,22.6,9993.52
EVT-000124,42-371-71164,Torres 7H,Grandfalls,2025-01-16,INSPECTION,Quarterly ESP system diagnostic and vibration analysis completed,9.6,20464.18
EVT-000125,42-371-71164,Torres 7H,Grandfalls,2023-08-26,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,31.4,5492.84
EVT-000126,42-371-68008,Hughes 10H,Kermit,2026-05-31,INSPECTION,Surface facility maintenance including separator cleaning and meter calibration,45.0,10434.57
EVT-000127,42-371-68008,Hughes 10H,Kermit,2026-04-19,CHEMICAL_TREATMENT,Quarterly ESP system diagnostic and vibration analysis completed,14.9,22558.1
EVT-000128,42-371-68008,Hughes 10H,Kermit,2026-04-02,MAINTENANCE,Surface facility maintenance including separator cleaning and meter calibration,17.1,15033.23
EVT-000129,42-371-68008,Hughes 10H,Kermit,2026-05-23,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,26.2,20755.06
EVT-000130,42-495-84339,Rogers 2H,Mentone,2025-11-06,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,21.5,14942.34
EVT-000131,42-475-33067,Roberts 3H,Loving,2023-12-19,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,30.4,3233.87
EVT-000132,42-371-74500,Johnson 9H,Balmorhea,2026-01-24,FAILURE,"Rod parting at depth, well dead, workover rig scheduled",139.6,684217.29
EVT-000133,42-371-74500,Johnson 9H,Balmorhea,2025-03-24,WORKOVER,"Tubing leak detected at depth, production ceased for workover",127.8,1849507.48
EVT-000134,42-371-74500,Johnson 9H,Balmorhea,2025-11-18,WORKOVER,"Severe corrosion-induced tubing failure, well flowing up annulus",150.0,120847.82
EVT-000135,42-371-74500,Johnson 9H,Balmorhea,2025-08-21,FAILURE,"Casing collapse detected during pressure test, integrity compromised",43.2,512227.73
EVT-000136,42-371-74500,Johnson 9H,Balmorhea,2026-03-14,FAILURE,Electrical cable failure on ESP causing complete shutdown,179.2,501786.49
EVT-000137,42-371-74500,Johnson 9H,Balmorhea,2025-04-12,FAILURE,Complete ESP system failure - motor burnout and pump lockup,338.8,785747.04
EVT-000138,42-371-74500,Johnson 9H,Balmorhea,2025-08-22,FAILURE,"Casing collapse detected during pressure test, integrity compromised",172.7,663413.65
EVT-000139,42-371-74500,Johnson 9H,Balmorhea,2026-06-07,FAILURE,Complete ESP system failure - motor burnout and pump lockup,424.6,463172.01
EVT-000140,42-371-74500,Johnson 9H,Balmorhea,2026-06-02,FAILURE,"Casing collapse detected during pressure test, integrity compromised",371.3,137930.56
EVT-000141,42-389-98864,Taylor 10V,Imperial,2026-01-15,MAINTENANCE,"Gas lift valve partially plugged, reduced injection efficiency",24.7,5333.19
EVT-000142,42-389-98864,Taylor 10V,Imperial,2026-02-01,CHEMICAL_TREATMENT,"Increasing water cut trend noted, zone isolation evaluation in progress",3.3,17269.92
EVT-000143,42-389-98864,Taylor 10V,Imperial,2026-06-23,EQUIPMENT_CHANGE,"Sand production increasing, pump wear accelerating",131.3,282811.81
EVT-000144,42-389-84090,Moore 7H,Wink,2026-02-18,FAILURE,Electrical cable failure on ESP causing complete shutdown,132.3,689693.37
EVT-000145,42-389-84090,Moore 7H,Wink,2023-12-03,FAILURE,"Severe corrosion-induced tubing failure, well flowing up annulus",149.2,300728.66
EVT-000146,42-389-84090,Moore 7H,Wink,2026-06-21,FAILURE,"Tubing leak detected at depth, production ceased for workover",106.8,764125.42
EVT-000147,42-389-84090,Moore 7H,Wink,2026-05-18,FAILURE,"Downhole pump seized due to severe sand production, pulling unit dispatched",416.7,371849.83
EVT-000148,42-109-38954,Long 8H,Buena Vista,2026-05-16,INSPECTION,Scheduled wellhead maintenance and valve replacement,22.5,22153.29
EVT-000149,42-109-38954,Long 8H,Buena Vista,2025-01-21,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,21.3,16592.86
EVT-000150,42-109-38954,Long 8H,Buena Vista,2026-06-02,INSPECTION,Routine preventive maintenance on ESP system including motor inspection and cable check,22.7,18743.81
EVT-000151,42-389-41233,Bailey 1V,Imperial,2025-01-11,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,6.9,2059.36
EVT-000152,42-389-41233,Bailey 1V,Imperial,2022-06-09,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,32.1,23859.99
EVT-000153,42-389-41233,Bailey 1V,Imperial,2023-04-06,MAINTENANCE,Routine tubing pressure test and casing inspection,7.5,15945.63
EVT-000154,42-389-50273,Brooks 12H,Fort Stockton,2023-07-26,INSPECTION,Scheduled wellhead maintenance and valve replacement,8.1,4388.32
EVT-000155,42-389-56439,Powell 7H,Loving,2026-05-24,INSPECTION,Annual safety valve inspection and function test completed,40.1,16268.79
EVT-000156,42-389-59732,Kelly 1H,Balmorhea,2025-10-08,MAINTENANCE,Quarterly ESP system diagnostic and vibration analysis completed,12.9,7611.09
EVT-000157,42-389-59732,Kelly 1H,Balmorhea,2025-09-26,CHEMICAL_TREATMENT,Surface facility maintenance including separator cleaning and meter calibration,46.1,16025.16
EVT-000158,42-371-99922,Bryant 8V,Van Horn,2024-08-23,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,30.6,10488.47
EVT-000159,42-371-99922,Bryant 8V,Van Horn,2024-05-16,INSPECTION,Quarterly ESP system diagnostic and vibration analysis completed,10.3,22531.04
EVT-000160,42-371-53480,Cooper 9H,Pecos Valley,2026-03-05,INSPECTION,Corrosion coupon retrieval and analysis - 2 mpy average rate,14.8,16996.76
EVT-000161,42-371-53480,Cooper 9H,Pecos Valley,2025-07-26,MAINTENANCE,Routine preventive maintenance on ESP system including motor inspection and cable check,27.8,8224.71
EVT-000162,42-371-74173,Bailey 5V,Grandfalls,2025-11-18,CHEMICAL_TREATMENT,Scheduled wellhead maintenance and valve replacement,14.9,7238.22
EVT-000163,42-371-74173,Bailey 5V,Grandfalls,2024-02-21,MAINTENANCE,Annual safety valve inspection and function test completed,15.4,10730.94
EVT-000164,42-371-74173,Bailey 5V,Grandfalls,2024-10-07,CHEMICAL_TREATMENT,Routine preventive maintenance on ESP system including motor inspection and cable check,26.6,16122.32
EVT-000165,42-109-61217,Turner 7V,Pecos Valley,2024-10-14,CHEMICAL_TREATMENT,Quarterly ESP system diagnostic and vibration analysis completed,33.0,14183.6
EVT-000166,42-109-61217,Turner 7V,Pecos Valley,2024-01-10,CHEMICAL_TREATMENT,Quarterly ESP system diagnostic and vibration analysis completed,17.3,4419.36
EVT-000167,42-109-61217,Turner 7V,Pecos Valley,2023-03-24,CHEMICAL_TREATMENT,Routine tubing pressure test and casing inspection,42.5,21272.64
EVT-000168,42-371-79955,Martin 3H,Buena Vista,2024-12-31,CHEMICAL_TREATMENT,Routine preventive maintenance on ESP system including motor inspection and cable check,43.5,22654.38
EVT-000169,42-371-79955,Martin 3H,Buena Vista,2025-11-05,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,22.1,24164.12
EVT-000170,42-371-79955,Martin 3H,Buena Vista,2026-02-10,CHEMICAL_TREATMENT,Quarterly ESP system diagnostic and vibration analysis completed,26.6,20106.3
EVT-000171,42-371-79955,Martin 3H,Buena Vista,2025-03-26,CHEMICAL_TREATMENT,Annual safety valve inspection and function test completed,33.7,9196.2
EVT-000172,42-371-34458,Gibson 6H,Ward-Estes,2025-09-13,MAINTENANCE,Scheduled wellhead maintenance and valve replacement,38.6,10994.77
EVT-000173,42-475-41835,Morgan 11H,Culberson County,2026-04-18,CHEMICAL_TREATMENT,Corrosion coupon retrieval and analysis - 2 mpy average rate,42.3,18559.31
EVT-000174,42-301-35376,Myers 4H,Grandfalls,2023-06-10,EQUIPMENT_CHANGE,"Downhole pump seized due to severe sand production, pulling unit dispatched",55.7,112182.98
EVT-000175,42-301-35376,Myers 4H,Grandfalls,2025-04-11,FAILURE,Gas lift valve failure causing complete loss of artificial lift,226.2,163215.31
EVT-000176,42-301-35376,Myers 4H,Grandfalls,2024-11-10,EQUIPMENT_CHANGE,"VSD drive failure causing ESP shutdown, replacement ordered",153.7,65218.72
EVT-000177,42-301-35376,Myers 4H,Grandfalls,2022-10-29,FAILURE,"Christmas tree valve failure, emergency well control initiated",124.6,703530.41
EVT-000178,42-301-35376,Myers 4H,Grandfalls,2023-07-24,EQUIPMENT_CHANGE,"Hole in tubing at 6500ft, severe production loss and gas migration",120.3,201793.39
EVT-000179,42-301-35376,Myers 4H,Grandfalls,2026-06-02,FAILURE,"Downhole pump seized due to severe sand production, pulling unit dispatched",133.2,529313.56
EVT-000180,42-301-35376,Myers 4H,Grandfalls,2026-05-26,FAILURE,Electrical cable failure on ESP causing complete shutdown,339.4,277140.58
EVT-000181,42-301-52787,Reed 9H,Pecos Valley,2024-08-01,MAINTENANCE,Routine preventive maintenance on ESP system including motor inspection and cable check,27.2,23781.35
EVT-000182,42-495-88949,Taylor 10H,Ward-Estes,2023-07-29,MAINTENANCE,Corrosion coupon retrieval and analysis - 2 mpy average rate,27.3,13945.05
