WELL_NAME,API_NO,OPERATOR,FRAC_SERVICE_COMPANY,COUNTY,STATE,FORMATION,STAGE_NUMBER,TOTAL_STAGES,STAGE_DATE,STAGE_START_TIME,STAGE_END_TIME,TREATMENT_TIME_MIN,PERF_TOP_FT_MD,PERF_BOTTOM_FT_MD,STAGE_LENGTH_FT,NUM_CLUSTERS,CLUSTER_SPACING_FT,BREAKDOWN_PRESSURE_PSI,FRACTURE_EXTENSION_PRESSURE_PSI,MAX_TREATING_PRESSURE_PSI,AVG_TREATING_PRESSURE_PSI,ISIP_PSI,CLOSURE_PRESSURE_PSI,MAX_PUMP_RATE_BPM,AVG_PUMP_RATE_BPM,SLURRY_VOLUME_BBL,CLEAN_FLUID_VOLUME_BBL,PAD_VOLUME_BBL,TOTAL_PROPPANT_LBS,TOTAL_PROPPANT_PLACED_LBS,MAX_PROPPANT_CONC_PPG,AVG_PROPPANT_CONC_PPG,FLUID_TYPE,FRICTION_REDUCER_GAL,FRICTION_REDUCER_CONC_GPT,SCALE_INHIBITOR_GAL,BIOCIDE_GAL,PROPPANT_TYPE_1,PROPPANT_1_LBS,PROPPANT_TYPE_2,PROPPANT_2_LBS,WELLBORE_FLUID_BBL,SCREEN_OUT,JOB_QUALITY,NOTES
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,11,60,2024-10-27,01:38,04:25,100,20913,21113,199.6,5,33,11640,10394,10033,9367,7993,7124,107.4,99.6,9983,9743,1296,471727,471727,1.76,1.15,Slickwater,491,1.2,7777,4852,100 Mesh White Sand,296765,40/70 White Sand,174962,445,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,12,60,2024-10-27,05:34,08:16,105,20713,20913,199.6,5,33,11662,10062,9723,9060,7968,7152,111.7,100.9,10647,10398,1445,490545,490545,1.66,1.12,Slickwater,524,1.2,8308,5216,100 Mesh White Sand,307245,40/70 White Sand,183300,388,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,13,60,2024-10-27,10:13,12:50,102,20513,20713,199.6,5,33,11571,10236,9880,9231,8061,7256,108.1,99.5,10216,9979,1040,465652,465652,1.67,1.11,Slickwater,502,1.2,8018,5000,100 Mesh White Sand,274486,40/70 White Sand,191166,378,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,14,60,2024-10-27,14:18,16:57,107,20314,20514,199.6,5,33,11535,10214,9854,9149,7861,7040,107.8,99.0,10686,10436,1324,491060,491060,1.67,1.12,Slickwater,525,1.2,8317,5227,100 Mesh White Sand,302233,40/70 White Sand,188827,405,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,15,60,2024-10-27,18:41,21:26,100,20114,20314,199.6,5,33,11630,10075,9732,9141,7867,6975,108.5,100.2,10119,9872,885,486502,486502,1.79,1.17,Slickwater,497,1.2,7888,4962,100 Mesh White Sand,285768,40/70 White Sand,200734,292,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,16,60,2024-10-27,23:01,01:55,116,19914,20114,199.6,5,33,11588,10149,9785,9130,7929,7049,108.3,98.7,11482,11206,1135,540249,540249,1.8,1.15,Slickwater,564,1.2,8937,5617,100 Mesh White Sand,340632,40/70 White Sand,199617,437,N,EXCELLENT,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,17,60,2024-10-28,03:15,05:30,95,19715,19915,199.6,5,33,11666,10016,9641,9026,7935,7044,106.6,100.3,9549,9304,816,480607,480607,1.87,1.23,Slickwater,468,1.2,7440,4639,100 Mesh White Sand,285892,40/70 White Sand,194715,359,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,18,60,2024-10-28,07:45,10:21,105,19515,19715,199.6,5,33,11682,10134,9807,9154,7951,7131,105.9,98.8,10422,10193,1045,447730,447730,1.67,1.05,Slickwater,513,1.2,8147,5104,100 Mesh White Sand,277445,40/70 White Sand,170285,381,N,ACCEPTABLE,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,19,60,2024-10-28,12:45,15:05,99,19316,19516,199.6,5,33,11701,10014,9625,8968,7919,7069,110.2,100.2,9969,9728,1306,474086,474086,1.83,1.16,Slickwater,490,1.2,7755,4880,100 Mesh White Sand,290365,40/70 White Sand,183721,319,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,20,60,2024-10-28,17:26,19:59,107,19116,19316,199.6,5,33,11743,10279,9945,9353,7919,7029,110.2,100.4,10825,10554,1229,534121,534121,1.79,1.2,Slickwater,531,1.2,8437,5299,100 Mesh White Sand,333324,40/70 White Sand,200797,361,N,EXCELLENT,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,21,60,2024-10-28,21:20,23:44,106,18916,19116,199.6,5,33,11689,10171,9805,9152,7883,6986,106.1,100.7,10716,10463,1130,495060,495060,1.69,1.13,Slickwater,527,1.2,8357,5226,100 Mesh White Sand,313287,40/70 White Sand,181773,442,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,22,60,2024-10-29,01:41,04:27,110,18717,18917,199.6,5,33,11439,10321,9966,9324,8058,7220,108.3,99.5,10994,10750,1300,478559,478559,1.63,1.06,Slickwater,541,1.2,8583,5396,100 Mesh White Sand,302160,40/70 White Sand,176399,323,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,23,60,2024-10-29,06:15,08:52,96,18517,18717,199.6,5,33,11782,10358,10013,9415,8032,7233,107.7,100.1,9679,9470,997,408207,408207,1.57,1.03,Slickwater,477,1.2,7559,4724,100 Mesh White Sand,249525,40/70 White Sand,158682,309,N,BELOW-DESIGN,Reduced proppant; pressure anomaly observed.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,24,60,2024-10-29,10:49,13:43,111,18317,18517,199.6,5,33,11801,10207,9799,9144,7870,6988,109.5,99.8,11124,10877,1448,483958,483958,1.64,1.06,Slickwater,548,1.2,8742,5445,100 Mesh White Sand,297977,40/70 White Sand,185981,373,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,25,60,2024-10-29,15:46,18:15,96,18118,18318,199.6,5,33,11748,10328,9943,9205,7897,7003,105.2,98.9,9568,9358,1123,412704,412704,1.65,1.05,Slickwater,471,1.2,7492,4664,100 Mesh White Sand,258439,40/70 White Sand,154265,310,N,ACCEPTABLE,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,26,60,2024-10-29,19:43,22:09,90,17918,18118,199.6,5,33,11455,10382,10061,9346,7938,7090,108.8,101.2,9183,8976,747,406574,406574,1.67,1.08,Slickwater,452,1.2,7189,4514,100 Mesh White Sand,250605,40/70 White Sand,155969,446,N,BELOW-DESIGN,Reduced proppant; pressure anomaly observed.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,27,60,2024-10-29,23:46,02:40,105,17719,17919,199.6,5,33,11688,10113,9753,9081,7923,7129,107.3,101.0,10682,10441,930,473411,473411,1.66,1.08,Slickwater,526,1.2,8376,5201,100 Mesh White Sand,293578,40/70 White Sand,179833,260,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,28,60,2024-10-30,04:45,07:32,100,17519,17719,199.6,5,33,11889,10225,9885,9252,7962,7113,110.3,100.2,10098,9866,1161,455431,455431,1.66,1.1,Slickwater,497,1.2,7924,4907,100 Mesh White Sand,280572,40/70 White Sand,174859,312,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,29,60,2024-10-30,08:46,11:09,95,17319,17519,199.6,5,33,11588,10065,9740,9076,7872,6992,106.0,100.6,9564,9342,953,436479,436479,1.71,1.11,Slickwater,470,1.2,7518,4688,100 Mesh White Sand,267636,40/70 White Sand,168843,363,N,ACCEPTABLE,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,30,60,2024-10-30,12:15,14:39,97,17120,17320,199.6,5,33,11653,10211,9834,9247,8001,7130,111.2,100.4,9764,9558,955,407201,407201,1.49,1.01,Slickwater,481,1.2,7656,4802,100 Mesh White Sand,240109,40/70 White Sand,167092,411,N,BELOW-DESIGN,Reduced proppant; pressure anomaly observed.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,31,60,2024-10-30,15:39,18:37,108,16920,17120,199.6,5,33,11581,9953,9612,8917,8085,7254,108.4,99.9,10801,10557,1361,477821,477821,1.72,1.08,Slickwater,532,1.2,8430,5253,100 Mesh White Sand,294971,40/70 White Sand,182850,360,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,32,60,2024-10-30,19:55,22:56,106,16720,16920,199.6,5,33,11701,10168,9868,9180,7920,7074,108.3,98.8,10552,10318,1201,459368,459368,1.6,1.06,Slickwater,520,1.2,8281,5142,100 Mesh White Sand,281648,40/70 White Sand,177720,365,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,33,60,2024-10-31,01:16,03:39,101,16521,16721,199.6,5,33,11651,9951,9617,9016,7945,7211,107.5,99.0,10044,9801,895,477834,477834,1.78,1.16,Slickwater,493,1.2,7801,4908,100 Mesh White Sand,300206,40/70 White Sand,177628,407,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,34,60,2024-10-31,05:32,07:47,99,16321,16521,199.6,5,33,11684,10013,9615,8960,7798,6987,107.9,100.8,10010,9772,801,469129,469129,1.76,1.14,Slickwater,492,1.2,7849,4913,100 Mesh White Sand,304006,40/70 White Sand,165123,300,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,35,60,2024-10-31,09:06,11:41,103,16121,16321,199.6,5,33,11764,10097,9759,9044,7971,7148,105.5,100.2,10392,10138,1150,496647,496647,1.92,1.17,Slickwater,510,1.2,8124,5096,100 Mesh White Sand,302331,40/70 White Sand,194316,383,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,36,60,2024-10-31,13:21,16:02,120,15922,16122,199.6,5,33,11892,10019,9700,8960,8067,7235,105.8,99.8,12032,11805,1101,446870,446870,1.4,0.9,Slickwater,594,1.2,9458,5931,100 Mesh White Sand,281728,40/70 White Sand,165142,261,N,ACCEPTABLE,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,37,60,2024-10-31,18:10,20:30,96,15722,15922,199.6,5,33,11798,10303,9943,9251,7995,7178,108.0,101.2,9786,9547,1102,470819,409903,1.8,1.17,Slickwater,481,1.2,7607,4745,100 Mesh White Sand,288800,40/70 White Sand,182019,435,Y,SCREEN-OUT,Stage screened out; near-wellbore tortuosity suspected.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,38,60,2024-10-31,22:54,01:43,102,15523,15723,199.6,5,33,11593,10208,9851,9263,7985,7100,111.2,101.0,10397,10164,1085,457638,457638,1.72,1.07,Slickwater,512,1.2,8095,5065,100 Mesh White Sand,295812,40/70 White Sand,161826,261,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,39,60,2024-11-01,03:33,06:19,110,15323,15523,199.6,5,33,11823,10041,9717,9037,8087,7311,107.7,101.1,11152,10905,1141,485545,485545,1.66,1.06,Slickwater,549,1.2,8763,5462,100 Mesh White Sand,305522,40/70 White Sand,180023,292,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,40,60,2024-11-01,07:45,10:07,101,15123,15323,199.6,5,33,11733,10267,9923,9249,7941,7063,108.1,101.6,10336,10079,1405,501787,501787,1.84,1.19,Slickwater,507,1.2,8014,5057,100 Mesh White Sand,327099,40/70 White Sand,174688,318,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,41,60,2024-11-01,11:07,13:43,94,14924,15124,199.6,5,33,11890,10148,9803,9115,7905,7069,106.6,100.5,9481,9230,979,490900,490900,1.94,1.27,Slickwater,465,1.2,7383,4601,100 Mesh White Sand,301824,40/70 White Sand,189076,291,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,42,60,2024-11-01,15:46,18:37,97,14724,14924,199.6,5,33,11741,10099,9773,9141,8026,7118,110.1,100.2,9764,9532,800,458285,458285,1.72,1.14,Slickwater,480,1.2,7577,4790,100 Mesh White Sand,283424,40/70 White Sand,174861,345,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,43,60,2024-11-01,20:01,22:29,111,14524,14724,199.6,5,33,11749,10127,9745,9155,8026,7205,107.8,100.6,11217,10994,987,437540,437540,1.52,0.95,Slickwater,554,1.2,8816,5489,100 Mesh White Sand,277236,40/70 White Sand,160304,400,N,ACCEPTABLE,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,44,60,2024-11-02,00:48,02:58,95,14325,14525,199.6,5,33,11723,10255,9894,9252,7949,7164,109.1,98.4,9385,9144,1022,471371,471371,1.9,1.23,Slickwater,460,1.2,7274,4583,100 Mesh White Sand,290937,40/70 White Sand,180434,289,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,45,60,2024-11-02,04:52,07:38,98,14125,14325,199.6,5,33,11705,10106,9759,9171,7985,7120,108.3,99.1,9804,9545,822,507953,507953,1.99,1.27,Slickwater,481,1.2,7672,4751,100 Mesh White Sand,306669,40/70 White Sand,201284,364,N,EXCELLENT,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,46,60,2024-11-02,08:53,11:50,106,13926,14126,199.6,5,33,11718,9922,9598,8872,7953,7135,110.3,100.3,10710,10477,1102,456726,456726,1.57,1.04,Slickwater,528,1.2,8429,5256,100 Mesh White Sand,287342,40/70 White Sand,169384,432,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,47,60,2024-11-02,14:06,16:59,102,13726,13926,199.6,5,33,11691,9995,9676,9046,7983,7153,111.7,101.0,10390,10151,1381,470164,470164,1.68,1.1,Slickwater,511,1.2,8148,5101,100 Mesh White Sand,298395,40/70 White Sand,171769,376,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,48,60,2024-11-02,19:19,21:49,110,13526,13726,199.6,5,33,11632,9780,9445,8827,7875,7021,110.4,100.1,11025,10781,1034,480744,480744,1.61,1.06,Slickwater,543,1.2,8603,5378,100 Mesh White Sand,295723,40/70 White Sand,185021,379,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,49,60,2024-11-02,23:42,02:04,98,13327,13527,199.6,5,33,11820,10184,9839,9204,8000,7188,107.6,101.0,9923,9693,1046,450607,450607,1.74,1.11,Slickwater,488,1.2,7765,4850,100 Mesh White Sand,278621,40/70 White Sand,171986,380,N,ACCEPTABLE,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,50,60,2024-11-03,04:08,06:27,92,13127,13327,199.6,5,33,11579,10266,9892,9181,8015,7168,108.4,100.6,9304,9071,980,455669,455669,1.89,1.2,Slickwater,457,1.2,7230,4538,100 Mesh White Sand,280751,40/70 White Sand,174918,348,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,51,60,2024-11-03,08:56,11:50,112,12927,13127,199.6,5,33,11773,10140,9775,9205,7981,7187,105.6,99.6,11192,10939,918,496019,496019,1.72,1.08,Slickwater,551,1.2,8734,5460,100 Mesh White Sand,302121,40/70 White Sand,193898,385,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,52,60,2024-11-03,14:06,16:37,91,12728,12928,199.6,5,33,11754,10111,9769,9200,7954,7102,109.5,99.6,9109,8874,1105,463610,463610,1.86,1.24,Slickwater,447,1.2,7107,4436,100 Mesh White Sand,287886,40/70 White Sand,175724,442,N,GOOD,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,53,60,2024-11-03,18:15,20:24,88,12528,12728,199.6,5,33,11798,9958,9627,9029,7990,7156,109.0,100.4,8869,8649,888,432995,432995,1.84,1.19,Slickwater,435,1.2,6913,4305,100 Mesh White Sand,270438,40/70 White Sand,162557,310,N,ACCEPTABLE,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,54,60,2024-11-03,22:16,01:10,115,12328,12528,199.6,5,33,11459,10263,9886,9246,7971,7122,106.8,98.3,11366,11105,1104,511299,511299,1.63,1.1,Slickwater,559,1.2,8883,5577,100 Mesh White Sand,324569,40/70 White Sand,186730,404,N,EXCELLENT,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,55,60,2024-11-04,03:40,06:15,101,12129,12329,199.6,5,33,11566,10430,10058,9437,7989,7103,108.1,99.0,10041,9816,1014,440539,440539,1.59,1.07,Slickwater,494,1.2,7890,4935,100 Mesh White Sand,279596,40/70 White Sand,160943,347,N,ACCEPTABLE,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,56,60,2024-11-04,08:11,10:29,96,11929,12129,199.6,5,33,11640,10406,10058,9422,8034,7152,111.7,100.7,9728,9471,1221,505838,505838,2.01,1.27,Slickwater,477,1.2,7625,4758,100 Mesh White Sand,316580,40/70 White Sand,189258,334,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,57,60,2024-11-04,11:55,14:19,101,11730,11930,199.6,5,33,11672,10470,10162,9523,8015,7147,105.1,99.0,10068,9845,895,437448,342931,1.56,1.06,Slickwater,496,1.2,7910,4927,100 Mesh White Sand,265144,40/70 White Sand,172304,383,Y,SCREEN-OUT,Stage screened out; near-wellbore tortuosity suspected.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,58,60,2024-11-04,16:04,18:54,99,11530,11730,199.6,5,33,11814,10139,9750,9086,7975,7135,109.6,101.3,10072,9808,1097,520240,520240,1.95,1.26,Slickwater,494,1.2,7848,4923,100 Mesh White Sand,332068,40/70 White Sand,188172,372,N,EXCELLENT,
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,59,60,2024-11-04,19:59,22:41,100,11330,11530,199.6,5,33,11608,10255,9923,9216,8012,7154,108.4,101.5,10217,9984,1227,457052,457052,1.69,1.09,Slickwater,503,1.2,7995,5019,100 Mesh White Sand,286470,40/70 White Sand,170582,337,N,GOOD,High treating pressure; potential frac complexity or NWB tortuosity.
Storm 1H,42-329-30031,Snow Energy,NexTier Oilfield Solutions,Midland,TX,Bone Spring,60,60,2024-11-05,00:04,03:10,112,11131,11331,199.6,5,33,11838,10141,9800,9083,7999,7141,105.5,100.2,11246,11022,1089,441050,441050,1.43,0.95,Slickwater,555,1.2,8839,5494,100 Mesh White Sand,282593,40/70 White Sand,158457,311,N,ACCEPTABLE,High treating pressure; potential frac complexity or NWB tortuosity.
